Unnamed: 0,Character,Line,Season,Episode_Number
238,Michael, messages  ,1,1
240,Dwight, people respond to the human touch and thats what i give them i can look at a client and i can say hello how are you hows business been going and we can go back and forth for sometime and uh then ill say how much how many reams do you want and theyll order it and then ill take care of all the sales ill make sure that they get that paper and they appreciate that  ,1,1
242,Michael, ah right here three stooges high five michael and ryan high five oh pam its a guy thing pam camera cuts to pam then back to michael now who was the one before curly,1,1
244,Michael, curly very good curly joe derita,1,1
246,Michael, well comedys kinda my thing watch this heres curly joe mmm me me me me me me me me me me me me oh i forgot here we go yelling in cod german im hitler right continues with cod german me me me me me me curly joe hitler laughs  ,1,1
248,Michael, all these people are walking around and theyre happy and their lives are just going along ignorance is bliss but if they knew what was lurking on the other side of that fence that furry monster imitating monster im gonna get you downsizing no they wouldnt theyd freak and im not going to play god they look to me for support and they look to me for guidance and leadership and i think if i could lie to them and it serves them then thats what im going to do  ,1,1
250,Michael, so this is our sales staff they are the ones who are making calls and making us lots of money comes to a screeching halt and laughs this is accounting the numbers dudes do not let the job description fool you they are all completely crazy especially that guy he is a mental patient camera zooms in on kevin not literally of course that wouldnt work the last place youd want somebody like that is accounting hides behind office plant very interesting but stupid artie johnson its a crazy place  ,1,1
261,Michael, what you dont know well it can hurt you but if you dont know it wont hurt you then you can just be happy for a little while at least  ,1,1
263,Michael, whats that,1,1
264,Pam, wired,1,1
265,Michael, oh john belushi what a crazy guy phew freaked myself out this morning,1,1
266,Pam, oh yeah,1,1
267,Michael, yeah i thought i found a lump i checked the uh i check the jewels every month this time you know its a little different it was fine it was fine but freaky man you know testicular cancer god cancer whoa testicles so whats um what you eating,1,1
268,Pam, smoked turkey,1,1
269,Michael, oh place around the corner nice all right see you later  ,1,1
271,Michael, do i need to speak up grabs boom microphone hello  ,1,1
274,Dwight, thats fine,1,1
276,Dwight, im sorry it makes me nervous,1,1
278,Dwight, i understand its in a blind spot because im trained in several martial arts and one of them uh includes uh an awareness that the masters bring uh of anything on all sides of you it could be behind you or whatever this is directly in a blind spot so im trained to respond negatively to something right above my head new take this now i have an eye on you see its on my periphery and if i needed to block it attack it stop it somehow does a martial arts move with his hands i could come right out i mean i know youre doing your job but documentary crew member,1,1
279,Dwight, im doing my job  ,1,1
281,Michael, i think better to be a happy idiot then a um then someone who knows the truth  ,1,1
293,Michael, gotcha good id go with the rows thats a good idea  ,1,2
294,Michael, today is diversity day and someones going to come in and talk to us about diversity its something that ive been pushing that ive been wanting to push for a long time and corporate mandated it and i never actually talked to corporate about it they kind of beat me to the punch the bastards but i was going to and i think its very important that we have this im very very excited  ,1,2
295,Jim, thats the thing its very sturdy paper and on the back it says 100 postconsumer content what hello uhhuh wait what im sorry mr decker i think im losing you shedder whirring hello hello yeah hold on one second i dont know hold on one second,1,2
296,Jim, do you really have to do that right now,1,2
297,Dwight, yes i do i should have done it weeks ago actually,1,2
298,Jim, mr decker im sorry about that what were you can you hold on one second yeah just one second thanks power off silence hello thats it perfect so what i was saying dialing tone hello thanks dwight,1,2
299,Dwight, retaliation tit for tit,1,2
300,Jim, that is not the expression,1,2
301,Dwight, well it should be  ,1,2
302,Jim, this is my biggest sale of the year they love me over there for some reason im not really sure why but i make one call over there every year just to renew their account and that one call ends up being 25 of my commission for the whole year so i buy a mini bottle of champagne celebrate a little and this year im pushing recycled paper on them for one percent more i know im getting cocky right  ,1,2
303,Jim, solitaire,1,2
304,Pam, yeah freecell,1,2
305,Jim, six on seven,1,2
306,Pam, i know i saw that,1,2
307,Jim, so then why didnt you do it,1,2
308,Pam, im saving that cause i like it when the cards go ttststchtchtch,1,2
309,Jim, who doesnt love that  ,1,2
310,Michael, hey oscar how are you doing man ,1,2
312,Michael, did you have a good weekend going there,1,2
314,Michael, oh yeah i bet it was fun to mr brown oh hey this is oscar,1,2
316,Michael,  right see i dont even know firstname basis,1,2
318,Michael, oh hey well diversity everybody lets do it oscar works in here jim could you wrap it up please,1,2
319,Jim, yeah uh mr decker please,1,2
320,Michael, its diversity day jim i wish every day was diversity day,1,2
321,Jim, you know what im actually going to have to call you back thank you sorry about that  ,1,2
323,Michael, come on people lets get em in get in the cards get in the cards,1,2
325,Michael, you know what this is a colorfreezone here stanley i dont look at you as another race,1,2
327,Michael, exactly were not,1,2
329,Michael, with tolerance,1,2
331,Michael, ignorance,1,2
333,Michael, lets celebrate,1,2
335,Michael, celebrate good times come on lets celebrate diversity right,1,2
337,Michael, you know what heres what were going to do why dont we go around and everybody everybody say a race that you are attracted to sexually i will go last go,1,2
338,Dwight, i have two white and indian,1,2
340,Michael, yes,1,2
342,Michael, ok,1,2
344,Dwight, a few of the ground rules ,1,2
345,Michael, hey hey why dont you run it by me and ill run it by him,1,2
346,Dwight, ok can we steer away from gay people,1,2
348,Dwight, im sorry its an orientation its not a race plus a lot of other races are intolerant of gays soparadox,1,2
350,Dwight, i figured it would save time,1,2
351,Michael, ok why dont we just defer to mr,1,2
353,Michael, ah oh right ok first test i will not call you that,1,2
355,Michael, how come chris rock can do a routine and everybody finds it hilarious and groundbreaking and then i go and do the exact same routine same comedic timing and people file a complaint to corporate is it because im white and chris is black  ,1,2
357,Michael, i will play the chris rock guy i would like to see someone else pull this off,1,2
359,Michael, ok i will play guy listening,1,2
363,Michael, ok  ,1,2
364,Michael, kevin is a great guy hes a great accountant he is not much of an entertainer  ,1,2
366,Michael, ok im sorry im sorry hes ruin hes butchering it could you just let me as chris rock every time every time black people want to have a good time some ignant ass bleep i take care of my kid,1,2
368,Michael, bleep they always want credit for something they supposed to do,1,2
370,Michael, as chris rock what you want a cookie  ,1,2
372,Dwight, excuse me im sorry but thats not all it takes to be a hero,1,2
374,Dwight, a hero kills people people that wish him harm,1,2
376,Dwight, a hero is parthuman and partsupernatural a hero is born out of a childhood trauma or out of a disaster that must be avenged,1,2
378,Dwight, we all have a hero in our heart,1,2
380,Michael, clears throat i dont think i can sign this,1,2
382,Michael, well ok it says here that i learned something and i knew all this stuff already so i know i could sign something that says that i taught something or that i helped you teach something so pam where is she pam could we change something on this,1,2
384,Michael, sure  ,1,2
386,Michael, heres the thing this office i think this is very advanced in terms of racial awareness and its probably more advanced than youre used to thats probably throwing you off a little bit,1,2
388,Michael, ok well i know you told me that several times,1,2
390,Michael, ok,1,2
392,Michael, well here i am thinking that you actually cared about diversity training and you dont,1,2
394,Michael,  i wont,1,2
396,Michael, yeah yeah  ,1,2
397,Michael, i regret my actions i regret offending my coworkers i pledge to bring my best spirit of honesty empathy respect and openmindedness openmindedness is that even a word into the workplace in this way i can truly be a hero signed daffy duck laughing hes going to lose it when he reads that  ,1,2
398,Jim, yeah hi is mr decker around oh well could you just have him call me after lunch thank you,1,2
399,Michael, i pledge to always keep an open mind and an open heart i do believe in that part of the pledge i that just read but a pledge come on i mean who are we the girl scouts no look the guy mr brown he got us halfway there he got us talking well no i got us talking he got us nothing he insulted us and he abandoned us you call that diversity training i dont were there any connections between any of us did anyone look each other in the eye was there any emotion going on no where was the heart i didnt see any heart where was my oprah moment ok get as much done as you can before lunch because afterward im going to have you all in tears  ,1,2
400,Michael, all right everybody pretty come on here we go its time lets do some good,1,2
402,Michael, get out,1,2
404,Michael, no this is not a joke ok that was offensive and lame so double offensive this is an environment of welcoming and you should just get the hell out of here ok lets go lets do it come on lets have some fun everybody here we go take a seat cop a squat and um thanks for coming in um diversity is the cornerstone of progress as ive always said but dont take my word for it lets take a look at the tape  ,1,2
405,Michael, on the tape hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles that i carry with me in the workplace  ,1,2
406,Michael, ok questions comments anybody jim,1,2
407,Jim, ,1,2
408,Michael, yes i only had an hour to put it together but im going to add on to it later on,1,2
410,Michael, uh yes that probably had something to do with the camera work anybody else um,1,2
412,Michael, yeah well if you leave well only have two left yes enjoy absolutely namaste ok well since i am leading this lets get down to business and why dont i just kind of introduce myself ok um i am michael and i am part english irish german and scottish sort of a virtual united nations but what some of you might not know is that i am also part native american indian,1,2
414,Michael, two fifteenths,1,2
416,Michael, well you know what its kind of hard for me to talk about it their suffering so who else lets get this popping come on whos going whos going lets go here oscar right here youre on,1,2
418,Michael, oh yeah,1,2
420,Michael, wow,1,2
422,Michael, wow that is that is a great story thats the american dream right there right,1,2
424,Michael, um let me ask you is there a term besides mexican that you prefer something less offensive,1,2
426,Michael, well it has certain connotations,1,2
428,Michael, like i dont i dont know,1,2
430,Michael, no now remember that honesty,1,2
432,Michael, empathy respect phone ringing jim jim,1,2
433,Jim, hello hello  ,1,2
434,Michael, i have something here i want you to take a card put it on your fore dont look at the card i want you to take the card and put it on your forehead and take a card take a card any card um and i want you to treat other people like the race that is on their forehead ok so everybody has a different race nobody knows what their race is so i want you to really go for it cause this is real you know this isnt just an exercise this is real life and i have a dream that you will really let the sparks fly get er done  ,1,2
435,Michael, why because martin luther king is a hero of mine theres this great chris rock bit about how streets named after martin luther king tend to be more violent im not going to do it but its  ,1,2
436,Michael, oh this is a good one,1,2
437,Pam, um hi how are you,1,2
439,Pam, great,1,2
440,Michael, push it,1,2
442,Pam, thank you,1,2
443,Michael, good bom bom bombom bom come on olympics of suffering right here slavery versus the holocaust come on,1,2
445,Michael, no that was inadvertent we didnt actually plan that,1,2
446,Dwight, lots of cultures eat rice doesnt help me,1,2
447,Dwight, um shalom id like to apply for a loan,1,2
448,Pam, thats nice dwight,1,2
449,Dwight, ok do me something stereotypical so i can get it really quick,1,2
450,Pam, ok i like your food,1,2
451,Dwight, outback steakhouse australian accent im australian mate,1,2
452,Michael, pam come on i like your food come on stir the pot stir the melting pot pam lets do it lets get ugly lets get real,1,2
453,Pam, ok if i have to do this based on stereotypes that are totally untrue that i do not agree with you would maybe not be  a very good driver,1,2
454,Dwight, oh man am i a woman  ,1,2
455,Michael, youll notice i didnt have anybody be an arab i thought that would be too explosive no pun intended but i just though too soon for arabs maybe next year um you know the balls in their court  ,1,2
456,Jim, what are you watching,1,2
458,Jim, really,1,2
460,Jim, no way i think she likes this stuff,1,2
462,Jim, yeah you know shes engaged but,1,2
464,Jim, oh yeah shes hot  ,1,2
473,Michael, ok all right no its good you just need to push it you need to go a little bit further all right ok  ,1,2
474,Michael, voice raised indian accent kelly how are you,1,2
476,Michael, oh welcome to my convenience store would you like some googi googi i have some very delicious googi googi only 99 cents plus tax try my googi googi lowering voice try my googi googi highpitched voice try my googi googi try my slap,1,2
477,Michael, trying not to cry all right all right yes that was great she gets it now she knows what its like to be a minority  ,1,2
478,Jim, on the phone mr decker we didnt lose your sale today did we excellent ok let me just get your whats that no we didnt close last time i just need your oh wwhat code were you given oh ok thats actually another salesman here i can redo it if you want to do that oh he gave you a discount no i dont blame you  ,1,2
479,Michael, i just hated it when that guy was in here mr brown if that was his real name i mean he had never met any of us before and here he was telling us how to do our thing i just wanted i just wanted to do it our way you know on our own man i should have gotten some food,1,2
481,Michael, okay kevin you can take that off that thing ok that would really really have shown him up wouldnt it if id brought in some burritos or some colored greens or some pad thai i love pad thai,1,2
483,Michael, what,1,2
485,Michael, that doesnt really make sense because you dont call them collared people thats offensive hmmm ok well its after five so thank you very much buena vista oscar thank you good job oh my man thank you brazil nice  ,1,2
486,Jim, pam is asleep resting her head on jims shoulder um hey,1,2
487,Pam, stirs mmmm,1,2
488,Jim, hey,1,2
489,Pam, oh,1,2
490,Jim, we can go,1,2
491,Pam, sorry,1,2
492,Jim, thats fine  ,1,2
493,Jim, uh not a bad day  ,1,2
496,Michael, yeah i would like to see us erase 100 years of racism in an hour,1,2
498,Michael, no the country,1,2
500,Michael, yeah more like a 1000,1,2
503,Dwight, i am a salesman okay and i dont think we should be doing this during prime sales hours if you can prove to me that diversity is going to help my sales ill go elephant running with james earl jones i really will but not on spec  ,1,2
506,Michael, i just think that hero its cute but its its empty you know its easy dwight you know what i came up with some terms of my own could you put these on the board the first one is inclusion new attitudes colorblind,1,2
508,Michael, expectations,1,2
510,Michael, thank you sharing,1,2
512,Michael, and tolerance,1,2
514,Pam, um that spells incest,1,2
516,Michael, well its not ideal but you have to give me some credit cause i made it into a word,1,2
518,Michael, i will give you a number of reasons why it is actually okay first incest is bad racism is bad no brainer right two incest were all a family right were all brothers and sisters racial message um number three and this is a fact the states where they have a lot of racism are the states where they have a lot of incest okay and finally,1,2
520,Michael, no no no no wait final one final one this is important the more we can encourage interracial dating as a society the further away we get from incest literally  ,1,2
521,Pam, it wouldve been just as easy for him to spell insect of course that wouldnt have made any sense either  ,1,2
527,Michael, okay im sorry im sorry this guys a temp and i shouldve told you that,1,2
529,Michael, yeah but no seriously uh you know hes not a member of the full staff so uh ryan you wanna just step outside,1,2
531,Michael, well maybe you should go down to the parking lot you know what yes go down to the parking lot and check to se if any of our guests have parked in the handicapped spots cool cause the handicaps get a raw deal oh you know what that ties right into new attitudes new attitudes about handicap people very important,1,2
533,Pam, yeah um theres good things about michael he uh uh yeah definitely um  ,1,2
535,Michael, in this way i can truly be a hero signed daffy duck laughing hes going to lose it when he reads that doh hogan not again hogan get col burkhalter on the phone laughing im kind of a hogan around here and kind of jan is kind of col burkhalter then dwight is schultz but its oh god we have fun we have fun cause hes gonna be pissed making voice no doubt about it  ,1,2
537,Dwight, what you doing,1,2
538,Jim, freecell,1,2
539,Dwight, solitaire is a oneplayer game it cant have two players,1,2
540,Jim, well i mean,1,2
541,Dwight, whats your win rate,1,2
542,Pam, seventysix percent whats yours,1,2
543,Dwight, youre not allowed to play twoplayer you need to start over,1,2
544,Pam, youre doing fine  ,1,2
546,Michael, are we going  dwight puts four fingers in front of the camera to start a countdown dont do that just say action when were ready,1,2
547,Dwight, dunder mifflin michael scott diversity tomorrow take four and action,1,2
548,Michael, mumbling should i turn no do it again,1,2
549,Dwight, diversity tomorrow take five action,1,2
550,Michael, hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles damn it okay sorry dont laugh please dont laugh this time dwight youre its its bugging me let me give myself a countdown ready three two one,1,2
551,Dwight, take six,1,2
552,Michael, just let me do it god three two one hi im michael scott im in charge of dunder mifflin paper products here in scranton keep the camera steady please people are gonna get sea sick watching this ready three two one,1,2
553,Dwight, action,1,2
554,Michael, dont please dont say anything sighs oh god,1,2
555,Dwight, and action lights camera action whenever youre ready,1,2
556,Michael, could i count myself down please dwight three two one hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles that i carry with me in the workplace,1,2
557,Dwight, cut  ,1,2
559,Michael, wandering around the room during his diversity exercise i want you to push it i want you to push cause breakthroughs are right around the corner somethings going to pop here somethings going to pop between a party feel what its like to be in someone elses skin what does it feel like to be a different race it feels pretty bad doesnt it so let that come out  ,1,2
561,Michael, yeah i marched on washington back in the day i went to the washington monument and the lincoln memorial us mint congressman talked to our class it was pretty cool  ,1,2
562,Michael, talk like youre talking to that race i have a feeling that this could get kind of volatile so keep it going camera shows devon sitting outside with west nile  ,1,2
564,Jim, um whats going on here,1,2
